ID,EXTRA_BAGGAGE
181,FALSE
182,TRUE
183,FALSE
184,FALSE
185,FALSE
186,FALSE
187,TRUE
188,TRUE
189,FALSE
190,FALSE
191,TRUE
192,FALSE
193,TRUE
194,FALSE
195,FALSE
196,FALSE
197,FALSE
198,FALSE
199,FALSE
200,FALSE
201,FALSE
202,FALSE
203,FALSE
204,FALSE
205,FALSE
206,FALSE
207,FALSE
208,FALSE
209,FALSE
210,TRUE
211,FALSE
212,FALSE
213,FALSE
214,TRUE
215,FALSE
216,FALSE
217,FALSE
218,FALSE
219,TRUE
220,FALSE
221,FALSE
222,FALSE
223,TRUE
224,FALSE
225,FALSE
226,TRUE
227,FALSE
228,FALSE
229,FALSE
230,FALSE
231,FALSE
232,FALSE
233,FALSE
234,FALSE
235,FALSE
236,TRUE
237,FALSE
238,FALSE
239,TRUE
240,FALSE
241,FALSE
242,FALSE
243,FALSE
244,FALSE
245,FALSE
246,TRUE
247,TRUE
248,FALSE
249,FALSE
250,TRUE
251,FALSE
252,TRUE
253,FALSE
254,FALSE
255,FALSE
256,FALSE
257,TRUE
258,FALSE
259,FALSE
260,FALSE
261,FALSE
262,TRUE
263,TRUE
264,TRUE
265,FALSE
266,FALSE
267,TRUE
268,FALSE
269,TRUE
270,FALSE
271,TRUE
272,FALSE
273,FALSE
274,FALSE
275,FALSE
276,FALSE
277,FALSE
278,FALSE
279,FALSE
280,TRUE
281,TRUE
282,FALSE
283,FALSE
284,FALSE
285,FALSE
286,TRUE
287,FALSE
288,FALSE
289,TRUE
290,FALSE
291,FALSE
292,TRUE
293,FALSE
294,FALSE
295,FALSE
296,TRUE
297,FALSE
298,FALSE
299,FALSE
300,FALSE
301,FALSE
302,FALSE
303,TRUE
304,TRUE
305,FALSE
306,FALSE
307,FALSE
308,FALSE
309,FALSE
310,FALSE
311,TRUE
312,FALSE
313,TRUE
314,FALSE
315,TRUE
316,FALSE
317,FALSE
318,FALSE
319,TRUE
320,TRUE
321,FALSE
322,FALSE
323,FALSE
324,TRUE
325,TRUE
326,FALSE
327,FALSE
328,FALSE
329,FALSE
330,FALSE
331,FALSE
332,FALSE
333,TRUE
334,TRUE
335,FALSE
336,FALSE
337,TRUE
338,FALSE
339,FALSE
340,TRUE
341,FALSE
342,FALSE
343,FALSE
344,TRUE
345,TRUE
346,FALSE
347,FALSE
348,TRUE
349,FALSE
350,FALSE
351,TRUE
352,FALSE
353,FALSE
354,FALSE
355,FALSE
356,TRUE
357,FALSE
358,FALSE
359,FALSE
360,FALSE
361,FALSE
362,FALSE
363,FALSE
364,FALSE
365,TRUE
366,FALSE
367,FALSE
368,FALSE
369,FALSE
370,FALSE
371,TRUE
372,FALSE
373,FALSE
374,FALSE
375,FALSE
376,FALSE
377,FALSE
378,FALSE
379,FALSE
380,TRUE
381,FALSE
382,FALSE
383,FALSE
384,FALSE
385,FALSE
386,FALSE
387,FALSE
388,FALSE
389,FALSE
390,FALSE
391,TRUE
392,FALSE
393,FALSE
394,TRUE
395,TRUE
396,FALSE
397,FALSE
398,FALSE
399,FALSE
400,TRUE
401,FALSE
402,TRUE
403,FALSE
404,FALSE
405,TRUE
406,FALSE
407,TRUE
408,FALSE
409,TRUE
410,FALSE
411,FALSE
412,FALSE
413,FALSE
414,FALSE
415,FALSE
416,TRUE
417,FALSE
418,FALSE
419,FALSE
420,FALSE
421,FALSE
422,FALSE
423,FALSE
424,FALSE
425,FALSE
426,FALSE
427,FALSE
428,FALSE
429,TRUE
430,TRUE
431,FALSE
432,FALSE
433,FALSE
434,TRUE
435,FALSE
436,FALSE
437,FALSE
438,FALSE
439,FALSE
440,TRUE
441,TRUE
442,FALSE
443,TRUE
444,TRUE
445,FALSE
446,FALSE
447,FALSE
448,FALSE
449,TRUE
450,TRUE
451,FALSE
452,FALSE
453,FALSE
454,FALSE
455,FALSE
456,FALSE
457,FALSE
458,FALSE
459,FALSE
460,FALSE
461,TRUE
462,FALSE
463,TRUE
464,FALSE
465,TRUE
466,FALSE
467,FALSE
468,FALSE
469,FALSE
470,TRUE
471,FALSE
472,FALSE
473,FALSE
474,FALSE
475,FALSE
476,TRUE
477,TRUE
478,FALSE
479,FALSE
480,FALSE
481,TRUE
482,FALSE
483,FALSE
484,TRUE
485,FALSE
486,FALSE
487,FALSE
488,FALSE
489,FALSE
490,FALSE
491,FALSE
492,FALSE
493,FALSE
494,TRUE
495,TRUE
496,FALSE
497,FALSE
498,FALSE
499,FALSE
500,TRUE
501,TRUE
502,FALSE
503,FALSE
504,FALSE
505,FALSE
506,TRUE
507,FALSE
508,FALSE
509,FALSE
510,FALSE
511,TRUE
512,FALSE
513,FALSE
514,FALSE
515,FALSE
516,FALSE
517,FALSE
518,FALSE
519,FALSE
520,TRUE
521,FALSE
522,FALSE
523,FALSE
524,TRUE
525,FALSE
526,FALSE
527,FALSE
528,FALSE
529,FALSE
530,FALSE
531,FALSE
532,FALSE
533,FALSE
534,FALSE
535,TRUE
536,FALSE
537,FALSE
538,FALSE
539,FALSE
540,FALSE
541,TRUE
542,FALSE
543,TRUE
544,FALSE
545,FALSE
546,FALSE
547,FALSE
548,FALSE
549,FALSE
550,FALSE
551,TRUE
552,FALSE
553,FALSE
554,FALSE
555,FALSE
556,FALSE
557,FALSE
558,FALSE
559,FALSE
560,TRUE
561,TRUE
562,FALSE
563,FALSE
564,FALSE
565,FALSE
566,FALSE
567,FALSE
568,FALSE
569,FALSE
570,FALSE
571,FALSE
572,FALSE
573,FALSE
574,FALSE
575,FALSE
576,TRUE
577,TRUE
578,FALSE
579,TRUE
580,TRUE
581,FALSE
582,FALSE
583,FALSE
584,FALSE
585,FALSE
586,FALSE
587,FALSE
588,FALSE
589,FALSE
590,FALSE
591,FALSE
592,FALSE
593,TRUE
594,FALSE
595,FALSE
596,TRUE
597,TRUE
598,FALSE
599,FALSE
600,FALSE
601,FALSE
602,FALSE
603,FALSE
604,FALSE
605,FALSE
606,FALSE
607,FALSE
608,TRUE
609,TRUE
610,FALSE
611,TRUE
612,FALSE
613,FALSE
614,FALSE
615,FALSE
616,FALSE
617,FALSE
618,FALSE
619,FALSE
620,FALSE
621,FALSE
622,FALSE
623,FALSE
624,FALSE
625,FALSE
626,FALSE
627,TRUE
628,FALSE
629,FALSE
630,FALSE
631,FALSE
632,FALSE
633,FALSE
634,FALSE
635,FALSE
636,TRUE
637,FALSE
638,FALSE
639,TRUE
640,FALSE
641,FALSE
642,FALSE
643,FALSE
644,TRUE
645,FALSE
646,FALSE
647,FALSE
648,FALSE
649,FALSE
650,FALSE
651,FALSE
652,TRUE
653,FALSE
654,FALSE
655,FALSE
656,FALSE
657,TRUE
658,FALSE
659,TRUE
660,FALSE
661,TRUE
662,TRUE
663,TRUE
664,FALSE
665,FALSE
666,FALSE
667,FALSE
668,FALSE
669,FALSE
670,FALSE
671,TRUE
672,FALSE
673,FALSE
674,FALSE
675,FALSE
676,FALSE
677,FALSE
678,FALSE
679,FALSE
680,FALSE
681,TRUE
682,TRUE
683,FALSE
684,TRUE
685,FALSE
686,FALSE
687,TRUE
688,FALSE
689,FALSE
690,FALSE
691,TRUE
692,FALSE
693,FALSE
694,FALSE
695,FALSE
696,FALSE
697,FALSE
698,FALSE
699,FALSE
700,FALSE
701,FALSE
702,FALSE
703,FALSE
704,TRUE
705,FALSE
706,FALSE
707,FALSE
708,FALSE
709,TRUE
710,FALSE
711,FALSE
712,FALSE
713,TRUE
714,FALSE
715,FALSE
716,FALSE
717,FALSE
718,FALSE
719,FALSE
720,FALSE
721,FALSE
722,FALSE
723,FALSE
724,FALSE
725,FALSE
726,FALSE
727,TRUE
728,FALSE
729,FALSE
730,FALSE
731,TRUE
732,FALSE
733,FALSE
734,FALSE
735,TRUE
736,FALSE
737,FALSE
738,FALSE
739,TRUE
740,FALSE
741,FALSE
742,FALSE
743,FALSE
744,FALSE
745,TRUE
746,TRUE
747,TRUE
748,FALSE
749,FALSE
750,FALSE
751,FALSE
752,FALSE
753,TRUE
754,FALSE
755,FALSE
756,FALSE
757,FALSE
758,FALSE
759,FALSE
760,FALSE
761,FALSE
762,FALSE
763,FALSE
764,FALSE
765,FALSE
766,TRUE
767,FALSE
768,FALSE
769,FALSE
770,FALSE
771,TRUE
772,FALSE
773,FALSE
774,FALSE
775,FALSE
776,FALSE
777,FALSE
778,FALSE
779,FALSE
780,FALSE
781,TRUE
782,FALSE
783,FALSE
784,TRUE
785,FALSE
786,FALSE
787,TRUE
788,FALSE
789,FALSE
790,FALSE
791,FALSE
792,TRUE
793,FALSE
794,FALSE
795,FALSE
796,FALSE
797,FALSE
798,FALSE
799,FALSE
800,FALSE
801,TRUE
802,FALSE
803,FALSE
804,FALSE
805,FALSE
806,FALSE
807,TRUE
808,FALSE
809,TRUE
810,FALSE
811,TRUE
812,TRUE
813,FALSE
814,FALSE
815,FALSE
816,FALSE
817,TRUE
818,FALSE
819,FALSE
820,TRUE
821,FALSE
822,FALSE
823,FALSE
824,FALSE
825,FALSE
826,FALSE
827,FALSE
828,FALSE
829,FALSE
830,FALSE
831,FALSE
832,TRUE
833,FALSE
834,FALSE
835,FALSE
836,FALSE
837,FALSE
838,TRUE
839,FALSE
840,FALSE
841,FALSE
842,FALSE
843,TRUE
844,TRUE
845,FALSE
846,FALSE
847,FALSE
848,FALSE
849,FALSE
850,FALSE
851,FALSE
852,FALSE
853,TRUE
854,TRUE
855,FALSE
856,FALSE
857,FALSE
858,FALSE
859,FALSE
860,FALSE
861,FALSE
862,FALSE
863,FALSE
864,TRUE
865,FALSE
866,TRUE
867,FALSE
868,FALSE
869,TRUE
870,TRUE
871,FALSE
872,FALSE
873,FALSE
874,FALSE
875,FALSE
876,TRUE
877,FALSE
878,FALSE
879,FALSE
880,FALSE
881,FALSE
882,FALSE
883,TRUE
884,FALSE
885,TRUE
886,FALSE
887,FALSE
888,TRUE
889,FALSE
890,FALSE
891,FALSE
892,FALSE
893,FALSE
894,FALSE
895,FALSE
896,FALSE
897,FALSE
898,TRUE
899,FALSE
900,FALSE
901,TRUE
902,FALSE
903,FALSE
904,FALSE
905,FALSE
906,FALSE
907,FALSE
908,FALSE
909,FALSE
910,FALSE
911,FALSE
912,FALSE
913,FALSE
914,TRUE
915,FALSE
916,FALSE
917,TRUE
918,FALSE
919,TRUE
920,FALSE
921,TRUE
922,FALSE
923,FALSE
924,TRUE
925,FALSE
926,TRUE
927,FALSE
928,TRUE
929,TRUE
930,FALSE
931,FALSE
932,FALSE
933,FALSE
934,TRUE
935,TRUE
936,FALSE
937,FALSE
938,FALSE
939,FALSE
940,FALSE
941,FALSE
942,FALSE
943,TRUE
944,FALSE
945,FALSE
946,FALSE
947,FALSE
948,TRUE
949,FALSE
950,FALSE
951,FALSE
952,FALSE
953,FALSE
954,FALSE
955,FALSE
956,FALSE
957,FALSE
958,FALSE
959,FALSE
960,FALSE
961,TRUE
962,FALSE
963,TRUE
964,FALSE
965,FALSE
966,FALSE
967,FALSE
968,TRUE
969,FALSE
970,FALSE
971,FALSE
972,TRUE
973,FALSE
974,FALSE
975,FALSE
976,FALSE
977,FALSE
978,TRUE
979,FALSE
980,FALSE
981,FALSE
982,TRUE
983,FALSE
984,TRUE
985,FALSE
986,FALSE
987,FALSE
988,FALSE
989,TRUE
990,FALSE
991,TRUE
992,TRUE
993,FALSE
994,FALSE
995,TRUE
996,FALSE
997,FALSE
998,TRUE
999,TRUE
1000,FALSE
1001,TRUE
1002,FALSE
1003,TRUE
1004,FALSE
1005,FALSE
1006,FALSE
1007,FALSE
1008,TRUE
1009,FALSE
1010,FALSE
1011,TRUE
1012,FALSE
1013,FALSE
1014,TRUE
1015,FALSE
1016,TRUE
1017,TRUE
1018,FALSE
1019,FALSE
1020,FALSE
1021,FALSE
1022,FALSE
1023,TRUE
1024,FALSE
1025,FALSE
1026,FALSE
1027,FALSE
1028,FALSE
1029,FALSE
1030,FALSE
1031,TRUE
1032,FALSE
1033,FALSE
1034,FALSE
1035,FALSE
1036,TRUE
1037,TRUE
1038,FALSE
1039,FALSE
1040,FALSE
1041,TRUE
1042,FALSE
1043,FALSE
1044,TRUE
1045,FALSE
1046,FALSE
1047,FALSE
1048,FALSE
1049,FALSE
1050,TRUE
1051,FALSE
1052,FALSE
1053,FALSE
1054,FALSE
1055,FALSE
1056,FALSE
1057,TRUE
1058,FALSE
1059,FALSE
1060,FALSE
1061,TRUE
1062,FALSE
1063,FALSE
1064,FALSE
1065,FALSE
1066,FALSE
1067,FALSE
1068,FALSE
1069,FALSE
1070,FALSE
1071,TRUE
1072,TRUE
1073,FALSE
1074,FALSE
1075,FALSE
1076,FALSE
1077,FALSE
1078,FALSE
1079,FALSE
1080,TRUE
1081,FALSE
1082,FALSE
1083,FALSE
1084,TRUE
1085,FALSE
1086,TRUE
1087,TRUE
1088,TRUE
1089,TRUE
1090,FALSE
1091,FALSE
1092,TRUE
1093,FALSE
1094,TRUE
1095,TRUE
1096,TRUE
1097,FALSE
1098,FALSE
1099,FALSE
1100,FALSE
1101,FALSE
1102,FALSE
1103,TRUE
1104,TRUE
1105,FALSE
1106,TRUE
1107,FALSE
1108,FALSE
1109,FALSE
1110,FALSE
1111,FALSE
1112,FALSE
1113,FALSE
1114,TRUE
1115,FALSE
1116,FALSE
1117,FALSE
1118,FALSE
1119,TRUE
1120,FALSE
1121,FALSE
1122,FALSE
1123,FALSE
1124,FALSE
1125,FALSE
1126,FALSE
1127,FALSE
1128,FALSE
1129,TRUE
1130,FALSE
1131,FALSE
1132,FALSE
1133,TRUE
1134,FALSE
1135,FALSE
1136,TRUE
1137,FALSE
1138,FALSE
1139,FALSE
1140,TRUE
1141,FALSE
1142,FALSE
1143,TRUE
1144,FALSE
1145,TRUE
1146,FALSE
1147,FALSE
1148,FALSE
1149,FALSE
1150,FALSE
1151,FALSE
1152,TRUE
1153,FALSE
1154,FALSE
1155,FALSE
1156,FALSE
1157,FALSE
1158,FALSE
1159,FALSE
1160,TRUE
1161,TRUE
1162,FALSE
1163,FALSE
1164,TRUE
1165,FALSE
1166,FALSE
1167,FALSE
1168,FALSE
1169,FALSE
1170,TRUE
1171,FALSE
1172,FALSE
1173,FALSE
1174,TRUE
1175,FALSE
1176,FALSE
1177,TRUE
1178,FALSE
1179,TRUE
1180,FALSE
1181,FALSE
1182,FALSE
1183,TRUE
1184,FALSE
1185,FALSE
1186,FALSE
1187,TRUE
1188,FALSE
1189,FALSE
1190,FALSE
1191,FALSE
1192,FALSE
1193,FALSE
1194,FALSE
1195,FALSE
1196,FALSE
1197,TRUE
1198,FALSE
1199,TRUE
1200,FALSE
1201,TRUE
1202,FALSE
1203,FALSE
1204,FALSE
1205,TRUE
1206,FALSE
1207,FALSE
1208,TRUE
1209,FALSE
1210,FALSE
1211,FALSE
1212,TRUE
1213,FALSE
1214,FALSE
1215,FALSE
1216,FALSE
1217,TRUE
1218,FALSE
1219,FALSE
1220,FALSE
1221,FALSE
1222,FALSE
1223,FALSE
1224,FALSE
1225,FALSE
1226,FALSE
1227,FALSE
1228,FALSE
1229,TRUE
1230,FALSE
1231,FALSE
1232,TRUE
1233,TRUE
1234,FALSE
1235,FALSE
1236,TRUE
1237,FALSE
1238,TRUE
1239,FALSE
1240,FALSE
1241,FALSE
1242,FALSE
1243,FALSE
1244,FALSE
1245,FALSE
1246,TRUE
1247,TRUE
1248,FALSE
1249,TRUE
1250,FALSE
1251,FALSE
1252,TRUE
1253,FALSE
1254,TRUE
1255,FALSE
1256,FALSE
1257,TRUE
1258,TRUE
1259,FALSE
1260,FALSE
1261,FALSE
1262,FALSE
1263,FALSE
1264,FALSE
1265,FALSE
1266,FALSE
1267,FALSE
1268,TRUE
1269,FALSE
1270,TRUE
1271,FALSE
1272,FALSE
1273,FALSE
1274,FALSE
1275,FALSE
1276,TRUE
1277,FALSE
1278,TRUE
1279,TRUE
1280,FALSE
1281,FALSE
1282,TRUE
1283,FALSE
1284,TRUE
1285,TRUE
1286,FALSE
1287,FALSE
1288,FALSE
1289,FALSE
1290,TRUE
1291,FALSE
1292,FALSE
1293,FALSE
1294,FALSE
1295,FALSE
1296,FALSE
1297,FALSE
1298,FALSE
1299,FALSE
1300,FALSE
1301,FALSE
1302,TRUE
1303,FALSE
1304,FALSE
1305,FALSE
1306,FALSE
1307,FALSE
1308,FALSE
1309,FALSE
1310,FALSE
1311,TRUE
1312,TRUE
1313,FALSE
1314,FALSE
1315,FALSE
1316,FALSE
1317,FALSE
1318,FALSE
1319,FALSE
1320,TRUE
1321,FALSE
1322,FALSE
1323,FALSE
1324,FALSE
1325,FALSE
1326,FALSE
1327,FALSE
1328,FALSE
1329,FALSE
1330,FALSE
1331,FALSE
1332,FALSE
1333,FALSE
1334,FALSE
1335,TRUE
1336,FALSE
1337,FALSE
1338,TRUE
1339,FALSE
1340,FALSE
1341,FALSE
1342,TRUE
1343,FALSE
1344,FALSE
1345,FALSE
1346,FALSE
1347,FALSE
1348,FALSE
1349,FALSE
1350,FALSE
1351,FALSE
1352,TRUE
1353,FALSE
1354,FALSE
1355,FALSE
1356,FALSE
1357,FALSE
1358,FALSE
1359,FALSE
1360,FALSE
1361,TRUE
1362,FALSE
1363,FALSE
1364,FALSE
1365,FALSE
1366,FALSE
1367,FALSE
1368,FALSE
1369,FALSE
1370,FALSE
1371,FALSE
1372,FALSE
1373,FALSE
1374,TRUE
1375,FALSE
1376,TRUE
1377,FALSE
1378,FALSE
1379,FALSE
1380,FALSE
1381,FALSE
1382,FALSE
1383,TRUE
1384,TRUE
1385,TRUE
1386,FALSE
1387,TRUE
1388,TRUE
1389,FALSE
1390,FALSE
1391,TRUE
1392,TRUE
1393,FALSE
1394,TRUE
1395,FALSE
1396,FALSE
1397,FALSE
1398,FALSE
1399,FALSE
1400,TRUE
1401,FALSE
1402,TRUE
1403,FALSE
1404,FALSE
1405,FALSE
1406,FALSE
1407,FALSE
1408,FALSE
1409,TRUE
1410,TRUE
1411,TRUE
1412,FALSE
1413,FALSE
1414,FALSE
1415,FALSE
1416,FALSE
1417,TRUE
1418,FALSE
1419,FALSE
1420,TRUE
1421,FALSE
1422,FALSE
1423,FALSE
1424,FALSE
1425,FALSE
1426,TRUE
1427,TRUE
1428,FALSE
1429,FALSE
1430,FALSE
1431,FALSE
1432,FALSE
1433,FALSE
1434,FALSE
1435,TRUE
1436,FALSE
1437,FALSE
1438,FALSE
1439,TRUE
1440,FALSE
1441,FALSE
1442,FALSE
1443,FALSE
1444,FALSE
1445,FALSE
1446,FALSE
1447,FALSE
1448,FALSE
1449,FALSE
1450,TRUE
1451,FALSE
1452,FALSE
1453,FALSE
1454,FALSE
1455,TRUE
1456,FALSE
1457,FALSE
1458,FALSE
1459,FALSE
1460,FALSE
1461,FALSE
1462,TRUE
1463,TRUE
1464,FALSE
1465,FALSE
1466,FALSE
1467,FALSE
1468,FALSE
1469,FALSE
1470,FALSE
1471,FALSE
1472,FALSE
1473,TRUE
1474,TRUE
1475,TRUE
1476,TRUE
1477,TRUE
1478,FALSE
1479,FALSE
1480,FALSE
1481,TRUE
1482,FALSE
1483,FALSE
1484,TRUE
1485,FALSE
1486,FALSE
1487,FALSE
1488,FALSE
1489,FALSE
1490,TRUE
1491,FALSE
1492,FALSE
1493,FALSE
1494,FALSE
1495,FALSE
1496,FALSE
1497,TRUE
1498,FALSE
1499,FALSE
1500,FALSE
1501,FALSE
1502,FALSE
1503,TRUE
1504,FALSE
1505,FALSE
1506,FALSE
1507,FALSE
1508,FALSE
1509,FALSE
1510,FALSE
1511,FALSE
1512,FALSE
1513,FALSE
1514,FALSE
1515,TRUE
1516,FALSE
1517,FALSE
1518,TRUE
1519,FALSE
1520,FALSE
1521,FALSE
1522,FALSE
1523,FALSE
1524,TRUE
1525,FALSE
1526,FALSE
1527,TRUE
1528,FALSE
1529,FALSE
1530,FALSE
1531,FALSE
1532,FALSE
1533,FALSE
1534,TRUE
1535,FALSE
1536,TRUE
1537,TRUE
1538,FALSE
1539,FALSE
1540,FALSE
1541,TRUE
1542,FALSE
1543,TRUE
1544,FALSE
1545,FALSE
1546,TRUE
1547,FALSE
1548,FALSE
1549,TRUE
1550,FALSE
1551,FALSE
1552,FALSE
1553,FALSE
1554,FALSE
1555,FALSE
1556,TRUE
1557,TRUE
1558,FALSE
1559,FALSE
1560,FALSE
1561,FALSE
1562,TRUE
1563,TRUE
1564,FALSE
1565,FALSE
1566,FALSE
1567,TRUE
1568,FALSE
1569,TRUE
1570,FALSE
1571,FALSE
1572,FALSE
1573,TRUE
1574,TRUE
1575,TRUE
1576,TRUE
1577,FALSE
1578,FALSE
1579,FALSE
1580,FALSE
1581,FALSE
1582,TRUE
1583,FALSE
1584,FALSE
1585,FALSE
1586,FALSE
1587,FALSE
1588,TRUE
1589,FALSE
1590,FALSE
1591,FALSE
1592,TRUE
1593,FALSE
1594,FALSE
1595,FALSE
1596,TRUE
1597,FALSE
1598,TRUE
1599,FALSE
1600,FALSE
1601,FALSE
1602,TRUE
1603,TRUE
1604,FALSE
1605,FALSE
1606,TRUE
1607,TRUE
1608,FALSE
1609,TRUE
1610,TRUE
1611,TRUE
1612,FALSE
1613,FALSE
1614,FALSE
1615,FALSE
1616,FALSE
1617,FALSE
1618,FALSE
1619,FALSE
1620,FALSE
1621,FALSE
1622,TRUE
1623,TRUE
1624,TRUE
1625,FALSE
1626,FALSE
1627,TRUE
1628,FALSE
1629,TRUE
1630,TRUE
1631,FALSE
1632,TRUE
1633,TRUE
1634,FALSE
1635,FALSE
1636,FALSE
1637,FALSE
1638,FALSE
1639,FALSE
1640,FALSE
1641,FALSE
1642,FALSE
1643,FALSE
1644,TRUE
1645,FALSE
1646,FALSE
1647,FALSE
1648,FALSE
1649,FALSE
1650,FALSE
1651,FALSE
1652,FALSE
1653,FALSE
1654,FALSE
1655,FALSE
1656,FALSE
1657,FALSE
1658,FALSE
1659,FALSE
1660,FALSE
1661,TRUE
1662,TRUE
1663,FALSE
1664,FALSE
1665,FALSE
1666,FALSE
1667,FALSE
1668,FALSE
1669,FALSE
1670,FALSE
1671,FALSE
1672,FALSE
1673,FALSE
1674,TRUE
1675,TRUE
1676,FALSE
1677,FALSE
1678,TRUE
1679,TRUE
1680,FALSE
1681,FALSE
1682,FALSE
1683,FALSE
1684,FALSE
1685,FALSE
1686,FALSE
1687,TRUE
1688,FALSE
1689,FALSE
1690,TRUE
1691,FALSE
1692,FALSE
1693,FALSE
1694,FALSE
1695,FALSE
1696,FALSE
1697,FALSE
1698,FALSE
1699,TRUE
1700,FALSE
1701,TRUE
1702,FALSE
1703,TRUE
1704,FALSE
1705,FALSE
1706,FALSE
1707,TRUE
1708,FALSE
1709,FALSE
1710,FALSE
1711,FALSE
1712,FALSE
1713,FALSE
1714,FALSE
1715,FALSE
1716,FALSE
1717,TRUE
1718,FALSE
1719,FALSE
1720,FALSE
1721,FALSE
1722,FALSE
1723,TRUE
1724,TRUE
1725,TRUE
1726,FALSE
1727,FALSE
1728,FALSE
1729,FALSE
1730,FALSE
1731,TRUE
1732,FALSE
1733,FALSE
1734,FALSE
1735,FALSE
1736,FALSE
1737,FALSE
1738,TRUE
1739,FALSE
1740,FALSE
1741,FALSE
1742,TRUE
1743,FALSE
1744,FALSE
1745,FALSE
1746,TRUE
1747,TRUE
1748,FALSE
1749,FALSE
1750,TRUE
1751,TRUE
1752,FALSE
1753,FALSE
1754,FALSE
1755,TRUE
1756,FALSE
1757,FALSE
1758,FALSE
1759,FALSE
1760,FALSE
1761,TRUE
1762,FALSE
1763,TRUE
1764,FALSE
1765,FALSE
1766,FALSE
1767,TRUE
1768,FALSE
1769,FALSE
1770,FALSE
1771,FALSE
1772,FALSE
1773,FALSE
1774,FALSE
1775,TRUE
1776,TRUE
1777,FALSE
1778,FALSE
1779,FALSE
1780,FALSE
1781,FALSE
1782,FALSE
1783,FALSE
1784,FALSE
1785,FALSE
1786,TRUE
1787,FALSE
1788,TRUE
1789,FALSE
1790,FALSE
1791,FALSE
1792,TRUE
1793,FALSE
1794,TRUE
1795,TRUE
1796,FALSE
1797,TRUE
1798,FALSE
1799,FALSE
1800,FALSE
1801,FALSE
1802,FALSE
1803,FALSE
1804,TRUE
1805,FALSE
1806,FALSE
1807,TRUE
1808,FALSE
1809,TRUE
1810,TRUE
1811,TRUE
1812,FALSE
1813,FALSE
1814,FALSE
1815,TRUE
1816,FALSE
1817,TRUE
1818,TRUE
1819,FALSE
1820,FALSE
1821,TRUE
1822,TRUE
1823,FALSE
1824,FALSE
1825,FALSE
1826,FALSE
1827,FALSE
1828,TRUE
1829,FALSE
1830,FALSE
1831,FALSE
1832,TRUE
1833,FALSE
1834,FALSE
1835,FALSE
1836,TRUE
1837,FALSE
1838,TRUE
1839,FALSE
1840,FALSE
1841,FALSE
1842,FALSE
1843,TRUE
1844,TRUE
1845,FALSE
1846,FALSE
1847,FALSE
1848,FALSE
1849,FALSE
1850,FALSE
1851,FALSE
1852,TRUE
1853,TRUE
1854,FALSE
1855,TRUE
1856,FALSE
1857,FALSE
1858,FALSE
1859,FALSE
1860,FALSE
1861,FALSE
1862,FALSE
1863,TRUE
1864,FALSE
1865,TRUE
1866,FALSE
1867,FALSE
1868,FALSE
1869,FALSE
1870,TRUE
